Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,665,163862,70761,53433,7410,21357,631,71744,370384,26462,165537
C:\Users\Sarthak\Desktop\jfreechart-0.9.14,665,163862,70761,53433,7410,21357,631,71744,370384,26462,165537
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src,665,163862,70761,53433,7410,21357,631,71744,370384,26462,165537
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org,665,163862,70761,53433,7410,21357,631,71744,370384,26462,165537
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree,665,163862,70761,53433,7410,21357,631,71744,370384,26462,165537
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart,494,127970,57978,43990,5479,16732,565,53260,277510,19787,124053
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\annotations,16,2692,1013,809,68,367,0,1312,6412,599,3620
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\annotations\junit,7,944,390,333,7,129,0,425,2064,253,1505
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis,49,16804,7382,5525,880,2081,72,7341,40601,2039,13050
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\axis\junit,16,3314,1492,1212,46,426,2,1396,6757,579,3440
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo,157,31651,15738,12934,550,4507,330,11406,57426,5857,35448
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\demo\resources,5,1880,1210,1061,5,379,9,291,1574,194,1161
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\entity,8,1267,337,242,38,145,0,785,3823,333,2103
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\event,14,1066,158,120,10,115,0,793,4418,530,3254
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\imagemap,6,364,42,28,4,34,0,288,1578,210,1236
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\junit,11,1820,762,603,17,275,25,783,3836,415,2505
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\labels,32,4247,1523,1156,207,548,0,2176,11112,1236,7508
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\labels\junit,15,1726,675,552,15,208,0,843,4213,545,3245
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\needle,9,1373,529,414,95,161,1,683,3373,342,2157
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\plot,41,23463,11429,8590,1527,3197,46,8837,44426,1889,12605
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\plot\junit,15,3219,1678,1504,32,436,2,1105,4904,541,3224
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\renderer,86,25562,11816,8462,1236,2928,58,10818,56493,3636,23201
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\renderer\junit,36,5212,2235,1853,38,639,1,2338,11193,1309,7798
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\resources,1,78,14,11,1,8,0,56,336,45,294
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\servlet,3,582,212,149,27,66,0,304,1752,115,712
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\ui,12,3248,1535,1188,131,448,6,1265,6501,477,3048
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\urls,15,1488,387,297,45,182,0,919,4868,568,3493
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\chart\urls\junit,4,403,135,114,4,52,0,216,1100,145,861
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\data,171,35892,12783,9443,1931,4625,66,18484,92874,6675,41484
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\data\gantt,4,1074,329,251,51,125,0,620,2774,155,940
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\data\junit,14,2080,901,783,21,290,0,889,4465,514,3096
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\data\resources,5,341,55,45,5,46,0,240,1327,185,1105
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\data\statistics,11,2838,927,681,165,340,0,1571,7508,427,2669
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\data\statistics\junit,2,211,68,57,3,20,0,123,594,72,428
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\data\time,39,11762,4659,3550,566,1708,31,5395,27387,1628,10391
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\data\time\junit,17,3428,1546,1289,17,536,0,1346,6581,649,3880
C:\Users\Sarthak\Desktop\jfreechart-0.9.14\src\org\jfree\data\xml,9,1241,397,275,32,158,0,686,3268,324,1931
